ID_Cliente,Età,Durata_Abbonamento,Tariffa_Mensile,Dati_Consumati,Servizio_Clienti_Contatti,Churn,Costo_per_GB
87,29,39,39.57,11.66,2,0,3.39
88,22,36,56.66,3.03,0,1,18.7
89,24,25,80.59,26.98,2,1,2.99
90,22,50,36.29,47.62,9,0,0.76
91,65,16,65.3,45.61,0,1,1.43
92,21,21,34.87,29.65,8,0,1.18
93,30,51,28.38,15.87,9,1,1.79
94,54,10,29.32,17.17,0,1,1.71
95,58,56,48.61,45.0,4,0,1.08
96,32,5,20.37,25.1,4,0,0.81
97,33,50,53.99,7.42,3,0,7.28
98,38,25,73.14,13.17,5,1,5.55
99,53,31,52.14,14.56,2,0,3.58
100,41,3,26.86,7.05,4,0,3.81
101,33,20,25.02,23.69,0,0,1.06
102,31,4,42.25,45.89,5,0,0.92
103,39,14,33.55,33.77,9,0,0.99
104,66,12,97.21,4.55,5,1,21.36
105,67,14,32.1,1.27,7,0,25.28
106,23,37,84.44,14.54,7,0,5.81
107,59,18,66.89,18.77,1,1,3.56
108,53,27,65.54,39.06,2,0,1.68
109,18,7,60.97,48.38,8,0,1.26
110,49,48,97.74,19.99,7,0,4.89
111,23,35,49.11,34.65,8,0,1.42
112,48,22,83.03,49.75,1,0,1.67
113,18,21,64.42,37.54,3,0,1.72
114,67,43,51.65,32.17,2,0,1.61
115,68,59,96.44,4.83,8,0,19.97
116,54,58,67.87,16.84,7,0,4.03
117,52,18,29.51,45.76,1,0,0.64
118,66,38,53.4,10.85,9,0,4.92
119,47,26,82.53,42.34,6,0,1.95
120,21,53,75.5,35.12,0,0,2.15
121,52,22,93.31,18.95,8,1,4.92
122,60,56,40.75,26.93,4,0,1.51
123,31,37,80.66,27.6,6,0,2.92
124,66,5,56.79,35.99,6,0,1.58
125,57,48,65.89,26.31,1,0,2.5
126,39,35,96.4,7.52,3,0,12.82
127,27,12,98.34,38.9,0,1,2.53
128,18,35,88.93,20.91,7,1,4.25
129,28,34,48.73,48.19,1,0,1.01
130,68,47,91.02,14.89,7,0,6.11
131,61,20,71.09,13.89,1,0,5.12
132,41,49,54.4,17.34,5,0,3.14
133,20,12,22.86,29.04,5,0,0.79
134,52,34,81.61,44.85,6,1,1.82
135,53,26,60.17,9.64,7,1,6.24
136,48,34,82.9,14.7,9,0,5.64
137,21,32,79.84,29.5,7,0,2.71
138,36,46,83.49,23.26,8,0,3.59
139,64,7,44.05,22.92,9,1,1.92
140,53,26,84.06,41.22,4,0,2.04
141,38,25,63.91,46.27,5,0,1.38
142,35,46,57.87,24.58,8,1,2.35
143,68,39,74.01,34.68,6,0,2.13
144,45,52,21.71,40.25,8,0,0.54
145,32,17,28.19,26.4,5,0,1.07
146,59,24,43.37,15.42,8,0,2.81
147,19,27,98.64,32.27,8,0,3.06
148,54,4,31.18,29.67,4,0,1.05
149,28,27,46.45,45.18,5,1,1.03
150,40,47,24.08,3.57,2,0,6.75
151,61,59,46.5,45.6,1,0,1.02
152,58,30,45.63,27.19,1,0,1.68
153,29,3,95.74,1.77,7,1,54.09
154,20,6,87.61,17.89,9,0,4.9
155,69,58,50.62,36.49,7,1,1.39
156,34,8,21.98,24.93,0,0,0.88
157,50,16,86.48,49.03,6,0,1.76
158,18,15,72.84,21.71,3,0,3.36
159,56,36,32.19,17.01,2,0,1.89
160,37,53,99.69,41.26,1,0,2.42
161,64,40,28.02,27.85,1,1,1.01
162,60,55,89.37,34.43,0,1,2.6
163,69,8,43.54,40.48,7,0,1.08
164,58,52,54.83,33.9,9,0,1.62
165,31,39,83.64,21.7,7,0,3.85
166,48,58,74.2,7.12,9,0,10.42
167,42,52,95.03,29.43,0,0,3.23
168,20,30,69.69,44.97,3,0,1.55
169,21,56,27.82,21.53,9,0,1.29
170,48,50,90.75,45.63,6,0,1.99
171,52,12,81.53,25.67,4,0,3.18
172,61,4,76.95,31.42,8,1,2.45
173,31,14,24.3,41.82,1,1,0.58
174,66,59,51.7,28.67,4,0,1.8
175,58,56,33.39,5.46,5,1,6.12
176,26,25,85.75,49.07,4,0,1.75
177,37,57,76.04,13.05,2,0,5.83
178,49,5,90.65,35.81,6,1,2.53
179,26,54,97.33,25.75,3,0,3.78
180,44,52,81.98,24.46,9,0,3.35
181,20,23,99.54,12.95,2,0,7.69
182,21,58,69.18,36.39,2,0,1.9
183,62,30,22.97,6.53,3,0,3.52
184,32,39,21.14,49.53,0,0,0.43
185,50,12,47.37,42.42,0,0,1.12
186,22,15,85.88,27.19,6,1,3.16
187,21,19,89.29,21.8,4,0,4.1
188,63,26,96.87,15.04,3,0,6.44
189,29,45,25.21,25.58,0,0,0.99
190,40,4,23.57,44.09,0,0,0.53
191,31,38,93.06,14.48,8,0,6.43
192,63,8,44.4,25.53,8,1,1.74
193,29,30,64.64,12.49,9,0,5.18
194,34,15,98.6,17.52,2,0,5.63
195,42,12,52.04,10.32,4,0,5.04
196,47,10,73.27,49.54,4,0,1.48
197,39,12,52.07,29.0,9,0,1.8
198,64,17,81.46,36.91,8,0,2.21
199,43,40,62.22,5.81,5,0,10.71
200,34,2,39.0,18.94,8,0,2.06
201,37,19,41.7,44.74,2,0,0.93
202,51,54,40.64,5.14,6,0,7.91
203,58,29,62.59,9.11,6,1,6.87
204,50,1,76.26,31.65,0,0,2.41
205,54,22,95.94,31.52,1,0,3.04
206,24,25,75.53,42.07,5,0,1.8
207,39,10,82.5,46.84,3,0,1.76
208,49,9,33.51,7.96,3,0,4.21
209,31,19,49.93,13.71,4,0,3.64
210,25,12,53.1,21.95,1,0,2.42
211,42,29,74.91,1.04,2,0,72.03
212,33,54,43.67,4.42,4,0,9.88
213,59,52,44.26,12.1,8,0,3.66
214,36,18,48.47,24.57,1,0,1.97
215,58,56,84.82,13.32,3,1,6.37
216,33,16,66.21,43.96,0,0,1.51
217,29,4,26.02,16.89,7,0,1.54
218,56,43,26.26,46.31,8,0,0.57
219,65,25,49.7,48.76,2,0,1.02
220,47,22,81.33,23.04,1,0,3.53
221,19,29,75.09,12.13,6,1,6.19
222,49,59,76.64,15.29,8,0,5.01
223,62,22,81.38,39.04,2,0,2.08
224,42,15,42.97,14.39,8,0,2.99
225,42,48,63.86,19.65,1,0,3.25
226,21,2,63.47,24.45,7,0,2.6
227,36,13,79.17,29.18,9,1,2.71
228,65,12,96.55,49.81,4,0,1.94
229,21,26,42.24,12.38,9,0,3.41
230,60,40,83.46,18.32,4,0,4.56
231,30,12,72.8,13.88,2,0,5.24
232,56,27,66.42,18.69,4,0,3.55
233,53,46,81.99,5.94,7,0,13.8
234,40,35,95.52,18.63,3,0,5.13
235,23,2,22.94,44.51,4,1,0.52
236,41,17,31.79,15.63,7,0,2.03
237,61,2,80.5,19.22,0,0,4.19
238,50,17,26.7,47.28,4,0,0.56
239,29,34,61.29,36.69,4,0,1.67
240,58,34,37.59,26.32,8,0,1.43
241,38,45,41.94,39.08,7,0,1.07
242,28,39,76.15,7.04,8,1,10.82
243,61,41,22.42,23.76,5,0,0.94
244,55,9,89.87,6.79,6,0,13.24
245,46,14,55.56,12.45,2,0,4.46
246,65,43,60.19,7.95,8,1,7.57
247,58,20,63.2,18.73,8,0,3.37
248,20,51,71.64,19.7,8,0,3.64
249,45,33,47.59,47.42,0,0,1.0
250,37,24,28.09,13.94,0,0,2.02
251,43,5,45.47,24.15,1,0,1.88
252,41,32,33.45,40.76,0,0,0.82
253,69,23,64.49,40.97,5,0,1.57
254,64,1,45.44,37.77,8,0,1.2
255,38,38,96.65,15.1,3,0,6.4
256,47,32,97.26,25.25,0,0,3.85
257,21,16,69.61,10.12,4,0,6.88
258,53,20,69.4,10.23,2,0,6.78
259,57,16,98.83,22.36,1,1,4.42
260,27,52,90.98,37.19,9,0,2.45
261,27,58,81.21,26.8,8,0,3.03
262,59,13,45.09,44.45,9,0,1.01
263,41,46,49.24,41.71,4,0,1.18
264,21,11,36.1,2.55,1,1,14.16
265,64,53,58.97,28.85,6,0,2.04
266,44,42,99.23,30.85,1,0,3.22
267,68,17,92.97,48.12,2,0,1.93
268,62,7,29.47,2.14,3,0,13.77
269,21,22,22.02,27.02,0,0,0.81
270,49,31,91.89,11.03,4,0,8.33
271,27,4,62.97,3.63,5,0,17.35
272,28,17,36.02,29.79,3,0,1.21
273,45,1,73.89,38.86,8,0,1.9
274,63,2,71.54,38.97,7,1,1.84
275,25,51,29.77,2.48,8,0,12.0
276,57,33,40.77,20.94,9,0,1.95
277,39,44,24.81,3.18,8,0,7.8
278,51,19,36.79,13.14,2,0,2.8
279,62,19,30.58,10.45,5,0,2.93
280,52,58,35.46,11.54,3,0,3.07
281,52,23,74.84,17.62,7,1,4.25
282,42,16,23.96,14.59,6,0,1.64
283,51,16,28.15,48.15,3,0,0.58
284,23,29,30.73,18.27,5,0,1.68
285,58,8,45.32,44.81,5,0,1.01
286,54,28,43.9,9.87,4,0,4.45
287,18,25,40.41,38.42,3,0,1.05
288,29,58,80.04,4.01,2,1,19.96
289,52,59,99.84,23.68,1,0,4.22
290,23,25,62.72,1.27,9,0,49.39
291,34,13,95.54,40.7,6,0,2.35
292,26,14,51.73,47.57,0,0,1.09
293,19,19,28.53,2.72,0,0,10.49
294,35,15,52.7,46.76,6,0,1.13
295,66,15,43.69,38.92,3,1,1.12
296,53,21,59.47,18.58,9,0,3.2
297,45,8,72.56,45.53,8,0,1.59
298,58,56,56.88,15.52,3,1,3.66
299,54,45,94.81,21.06,3,0,4.5
300,66,44,90.78,5.74,7,1,15.82
301,43,54,76.16,33.19,9,0,2.29
302,21,28,59.17,2.45,4,0,24.15
303,57,45,30.53,24.76,8,0,1.23
304,53,16,51.76,34.48,6,0,1.5
305,68,24,76.35,41.24,6,0,1.85
306,48,12,42.79,8.35,7,0,5.12
307,47,14,28.32,37.95,2,0,0.75
308,67,30,92.63,36.23,5,0,2.56
309,51,32,76.72,28.42,4,0,2.7
310,36,47,69.22,29.65,0,0,2.33
311,35,19,83.4,5.47,5,0,15.25
312,47,5,86.85,30.42,9,0,2.86
313,38,29,58.68,19.69,6,0,2.98
314,20,2,90.5,43.51,6,0,2.08
315,23,50,93.31,16.34,8,0,5.71
316,55,50,41.72,29.25,5,0,1.43
317,30,24,68.6,21.9,2,0,3.13
318,62,58,62.13,43.94,3,1,1.41
319,20,17,63.04,13.44,7,0,4.69
320,65,42,95.01,4.86,9,0,19.55
321,45,27,44.42,37.68,3,0,1.18
322,39,49,98.67,21.23,5,0,4.65
323,57,3,92.17,29.87,1,1,3.09
324,57,48,56.7,2.29,1,0,24.76
325,29,18,85.4,47.65,0,0,1.79
326,40,21,81.52,44.0,4,1,1.85
327,48,39,74.23,31.57,9,0,2.35
328,35,1,45.59,1.83,3,0,24.91
329,24,7,35.72,19.52,3,0,1.83
330,25,45,73.72,48.96,4,0,1.51
331,36,23,87.44,34.39,3,0,2.54
332,46,16,21.3,8.89,9,0,2.4
333,61,11,71.42,23.57,5,0,3.03
334,37,35,55.43,48.37,8,1,1.15
335,67,41,91.85,27.2,1,1,3.38
336,59,39,45.72,2.21,9,1,20.69
337,47,55,57.93,31.37,3,0,1.85
338,64,22,61.18,14.29,0,0,4.28
339,39,35,31.24,5.84,6,1,5.35
340,27,54,77.03,20.74,4,0,3.71
341,43,33,86.44,28.37,7,0,3.05
342,68,43,24.63,1.83,6,0,13.46
343,50,45,43.31,28.39,5,0,1.53
344,45,36,23.04,26.05,6,0,0.88
345,27,42,96.52,39.9,0,0,2.42
346,46,58,73.37,21.75,7,0,3.37
347,61,40,97.14,28.12,7,0,3.45
348,35,28,62.52,37.36,1,0,1.67
349,59,49,84.17,44.96,0,1,1.87
350,18,11,49.95,19.62,2,0,2.55
351,40,5,48.31,30.48,6,1,1.58
352,34,18,50.26,35.04,6,1,1.43
353,60,4,72.63,3.12,7,0,23.28
354,54,38,48.76,40.24,4,0,1.21
355,48,31,92.03,19.49,3,0,4.72
356,42,24,98.66,33.84,3,1,2.92
357,21,30,22.43,24.11,5,1,0.93
358,69,39,35.49,35.41,1,0,1.0
359,26,31,28.98,36.49,0,0,0.79
360,45,12,23.39,10.39,1,1,2.25
361,47,3,38.22,33.45,2,0,1.14
362,64,30,55.74,42.71,5,0,1.31
363,41,8,86.96,12.54,4,0,6.93
364,50,52,37.75,38.15,9,0,0.99
365,37,53,59.52,32.06,2,0,1.86
366,26,10,94.37,47.8,9,0,1.97
367,25,24,73.38,13.75,6,0,5.34
368,41,1,83.85,8.56,4,0,9.8
369,31,49,64.08,16.29,1,1,3.93
370,35,18,98.44,13.64,0,0,7.22
371,18,41,67.09,38.08,7,1,1.76
372,29,52,23.64,36.92,8,0,0.64
373,46,22,35.84,33.81,2,0,1.06
374,54,31,52.38,11.6,8,0,4.52
375,43,27,68.1,43.23,5,0,1.58
376,50,16,81.75,47.87,3,0,1.71
377,60,49,53.05,27.05,2,1,1.96
378,32,18,76.8,32.82,2,0,2.34
379,40,11,83.19,25.53,6,0,3.26
380,46,18,45.38,14.89,8,1,3.05
381,38,4,98.34,15.02,1,0,6.55
382,36,40,71.97,16.36,4,0,4.4
383,22,10,90.48,10.35,1,0,8.74
384,40,30,64.48,45.19,3,0,1.43
385,53,4,79.33,43.06,7,1,1.84
386,37,8,81.64,23.62,3,0,3.46
387,25,17,92.66,19.0,0,0,4.88
388,26,35,32.03,47.01,7,0,0.68
389,31,5,64.66,11.9,3,0,5.43
390,23,27,54.27,28.12,0,1,1.93
391,18,37,93.85,3.67,8,0,25.57
392,26,7,28.41,10.37,3,0,2.74
393,33,33,98.61,30.6,7,0,3.22
394,33,18,90.04,33.45,4,0,2.69
395,29,56,25.91,29.47,1,0,0.88
396,22,55,59.28,43.61,6,0,1.36
397,57,54,77.4,49.68,4,0,1.56
398,46,38,79.05,38.43,3,0,2.06
399,63,56,92.52,23.79,6,0,3.89
400,44,28,83.99,41.86,6,1,2.01
401,28,52,44.87,6.9,4,0,6.5
402,64,15,59.87,34.48,2,0,1.74
403,67,23,76.14,26.4,7,0,2.88
404,45,32,31.07,9.73,3,1,3.19
405,69,9,35.52,48.67,1,0,0.73
406,53,57,58.48,17.58,0,1,3.33
407,59,30,43.86,31.16,6,0,1.41
408,36,29,89.0,44.05,1,0,2.02
409,52,32,66.9,25.83,5,0,2.59
410,69,35,47.89,6.64,4,0,7.21
411,48,59,87.91,41.12,6,1,2.14
412,61,18,84.39,18.31,3,0,4.61
413,36,29,99.87,49.17,1,0,2.03
414,63,48,87.78,44.31,7,0,1.98
415,41,17,53.16,42.82,7,0,1.24
416,19,9,30.2,18.46,8,0,1.64
417,24,56,87.25,38.1,0,0,2.29
418,60,45,24.78,49.33,0,0,0.5
419,66,8,48.02,26.79,2,1,1.79
420,48,13,93.58,24.07,6,0,3.89
421,34,33,96.86,1.72,1,0,56.31
422,44,21,71.25,35.31,9,1,2.02
423,53,44,75.09,43.07,9,0,1.74
424,67,12,23.4,13.13,5,1,1.78
425,60,30,61.16,16.44,1,0,3.72
426,27,41,63.75,25.53,7,0,2.5
427,62,1,47.21,4.53,3,0,10.42
428,31,21,25.49,5.39,9,0,4.73
429,24,46,38.31,21.63,3,0,1.77
430,56,29,48.64,13.8,2,0,3.52
431,57,14,54.81,20.9,4,0,2.62
432,26,38,67.27,23.26,5,0,2.89
433,31,48,77.79,48.84,4,1,1.59
434,25,40,45.41,47.27,6,1,0.96
435,34,51,46.32,7.85,8,0,5.9
436,40,5,21.58,44.25,0,1,0.49
437,33,47,23.27,4.93,9,0,4.72
438,43,13,40.63,25.87,6,0,1.57
439,26,58,79.22,9.03,7,0,8.77
440,53,56,70.27,18.93,9,0,3.71
441,24,38,81.58,37.42,6,0,2.18
442,35,49,81.51,21.8,5,0,3.74
443,25,5,88.53,40.54,4,0,2.18
444,38,42,77.63,36.22,7,1,2.14
445,43,37,98.32,47.2,3,0,2.08
446,20,17,91.91,27.17,6,0,3.38
447,34,19,66.94,40.31,3,0,1.66
448,68,38,67.05,16.82,7,1,3.99
449,63,31,22.74,17.94,8,0,1.27
450,41,54,99.88,20.63,4,0,4.84
451,42,47,30.53,21.13,8,1,1.44
452,22,36,79.23,6.06,2,0,13.07
453,54,49,85.68,26.44,6,0,3.24
454,62,1,49.84,5.74,6,1,8.68
455,67,50,35.75,44.6,5,1,0.8
456,41,58,27.9,4.03,7,0,6.92
457,48,10,79.89,23.04,8,0,3.47
458,43,51,56.21,14.95,2,1,3.76
459,38,34,77.1,8.59,2,1,8.98
460,51,49,93.23,39.41,0,0,2.37
461,55,50,31.73,36.03,8,0,0.88
462,41,13,93.53,8.15,1,1,11.48
463,45,7,52.93,32.01,9,1,1.65
464,47,52,44.42,39.84,7,0,1.11
465,51,37,95.44,38.89,5,0,2.45
466,69,36,99.25,5.52,7,1,17.98
467,69,39,35.91,34.59,5,0,1.04
468,40,37,72.55,36.09,6,1,2.01
469,25,31,28.52,43.25,2,1,0.66
470,59,51,72.07,25.89,7,1,2.78
471,67,20,86.19,23.59,7,1,3.65
472,27,39,74.76,48.29,4,0,1.55
473,18,45,53.39,40.03,3,1,1.33
474,37,36,50.65,28.38,3,1,1.78
475,54,15,51.45,17.2,5,0,2.99
476,35,30,67.18,42.42,5,1,1.58
477,38,52,90.53,23.32,6,0,3.88
478,66,57,94.33,5.54,1,0,17.03
479,21,18,24.28,23.29,2,0,1.04
480,60,4,34.53,43.73,0,1,0.79
481,19,30,28.98,22.97,2,0,1.26
482,38,28,35.47,1.7,5,1,20.86
483,54,4,47.73,30.96,2,0,1.54
484,22,34,60.52,49.8,0,0,1.22
485,34,54,70.36,41.05,3,0,1.71
486,66,52,78.57,31.24,8,1,2.52
487,65,55,91.21,45.81,3,0,1.99
488,28,28,99.13,40.87,9,0,2.43
489,63,37,73.03,25.43,1,0,2.87
490,58,57,87.63,29.97,0,0,2.92
491,48,22,82.24,36.83,6,0,2.23
492,45,40,44.6,42.47,4,0,1.05
493,61,43,90.06,3.85,6,1,23.39
494,49,11,23.42,38.97,4,0,0.6
495,38,30,20.03,22.93,1,0,0.87
496,24,50,41.9,33.38,3,0,1.26
497,27,30,56.97,38.47,9,0,1.48
498,45,59,71.07,27.44,6,0,2.59
499,65,25,28.14,8.77,2,0,3.21
500,53,51,73.84,21.07,8,0,3.5
501,37,17,84.15,4.77,8,1,17.64
502,30,1,34.83,34.78,2,0,1.0
503,36,37,53.21,47.73,9,0,1.11
504,67,35,61.6,39.97,3,0,1.54
505,28,14,56.14,20.1,2,0,2.79
506,52,2,83.99,29.63,1,0,2.83
507,51,3,96.84,15.91,1,0,6.09
508,61,3,83.92,27.51,5,0,3.05
509,21,20,26.24,15.74,6,0,1.67
510,30,53,84.39,37.18,1,0,2.27
511,54,59,25.33,13.71,7,1,1.85
512,19,13,38.88,48.24,9,0,0.81
513,67,31,32.25,33.44,9,1,0.96
514,18,40,35.8,4.37,6,0,8.19
515,57,22,62.27,1.53,2,0,40.7
516,42,14,73.74,49.86,2,0,1.48
517,54,50,57.63,11.8,6,0,4.88
518,53,27,96.78,16.32,8,0,5.93
519,23,52,39.22,11.21,5,0,3.5
520,24,13,81.05,46.48,6,0,1.74
521,21,50,89.61,32.95,9,1,2.72
522,52,1,64.97,25.71,5,0,2.53
523,58,2,56.5,28.32,2,0,2.0
524,51,37,67.69,16.58,9,0,4.08
525,46,11,54.3,31.09,8,0,1.75
526,22,43,64.42,21.56,5,0,2.99
527,44,33,53.35,10.76,8,0,4.96
528,50,29,52.04,33.17,8,0,1.57
529,63,59,75.63,19.32,0,0,3.91
530,69,3,27.43,39.47,0,0,0.69
531,27,29,33.32,21.35,4,0,1.56
532,23,2,88.1,25.91,4,0,3.4
533,51,14,81.69,39.59,9,0,2.06
534,25,20,42.52,22.95,5,0,1.85
535,48,48,50.18,48.34,2,0,1.04
536,26,18,94.08,39.86,7,0,2.36
537,38,37,85.45,41.5,6,0,2.06
538,25,8,69.15,47.74,1,0,1.45
539,21,54,37.72,20.05,7,0,1.88
540,39,7,23.54,29.42,9,1,0.8
541,45,10,54.5,34.99,2,0,1.56
542,62,16,73.81,34.0,0,0,2.17
543,21,19,86.28,47.69,9,1,1.81
544,56,30,88.22,15.13,6,0,5.83
545,38,54,22.62,15.28,7,0,1.48
546,25,43,39.53,45.98,3,0,0.86
547,37,19,47.13,40.17,3,0,1.17
548,49,3,35.1,10.96,6,0,3.2
549,18,30,84.24,28.93,1,0,2.91
550,23,18,81.4,37.54,1,0,2.17
551,45,36,61.35,18.3,5,0,3.35
552,61,57,98.63,22.28,1,0,4.43
553,48,20,31.52,29.19,1,0,1.08
554,27,17,91.97,23.89,3,0,3.85
555,37,24,29.32,37.9,6,0,0.77
556,25,13,33.05,1.29,5,0,25.62
557,39,36,75.7,22.3,2,0,3.39
558,55,46,28.77,17.54,1,1,1.64
559,46,57,65.27,30.85,3,1,2.12
560,26,3,53.62,39.02,2,0,1.37
561,61,21,78.28,4.73,1,0,16.55
562,64,4,92.05,8.74,9,1,10.53
563,18,18,81.59,33.59,9,0,2.43
564,58,45,87.98,37.18,9,1,2.37
565,69,39,22.64,29.82,0,0,0.76
566,56,43,44.82,49.16,9,1,0.91
567,43,11,61.23,25.47,9,0,2.4
568,28,38,53.28,7.68,0,0,6.94
569,69,43,38.5,34.63,5,1,1.11
570,52,41,44.63,30.5,4,0,1.46
571,41,48,95.63,29.93,3,0,3.2
572,50,28,43.53,27.75,8,0,1.57
573,37,5,48.31,47.02,9,1,1.03
574,44,52,20.3,7.33,2,0,2.77
575,32,23,87.61,4.59,0,0,19.09
576,50,38,32.39,8.55,4,0,3.79
577,69,36,36.33,13.0,8,0,2.79
578,24,31,40.42,30.05,3,0,1.35
579,51,8,90.77,31.01,9,0,2.93
580,62,25,36.52,12.4,7,0,2.95
581,68,25,83.8,24.97,5,0,3.36
582,63,48,84.64,24.62,1,0,3.44
583,59,16,94.16,23.2,3,1,4.06
584,22,11,29.24,40.37,0,0,0.72
585,47,20,37.38,24.11,4,1,1.55
586,45,14,79.43,38.16,1,0,2.08
587,35,40,35.68,9.16,3,1,3.9
588,53,57,42.91,27.07,4,0,1.59
589,20,38,33.34,41.38,8,0,0.81
590,38,40,33.82,9.71,8,0,3.48
591,63,19,58.52,23.78,9,0,2.46
592,33,8,28.77,30.84,9,0,0.93
593,54,25,45.74,10.05,5,0,4.55
594,59,33,54.13,38.08,0,0,1.42
595,22,45,21.96,4.87,3,0,4.51
596,67,40,51.07,47.37,5,0,1.08
597,68,53,27.53,23.94,8,0,1.15
598,31,41,59.49,17.47,0,0,3.41
599,48,48,86.06,6.72,5,0,12.81
600,63,53,85.47,22.2,5,0,3.85
601,41,37,26.44,33.33,8,0,0.79
602,52,43,68.1,5.63,2,0,12.1
603,53,17,86.77,16.01,0,0,5.42
604,27,53,39.04,41.96,7,1,0.93
605,44,27,80.95,32.66,9,0,2.48
606,44,41,91.26,11.11,7,0,8.21
607,40,17,84.49,8.88,0,0,9.51
608,30,47,28.58,45.32,3,0,0.63
609,33,33,20.72,15.06,1,0,1.38
610,52,31,35.34,9.8,0,1,3.61
611,44,21,41.64,50.0,8,0,0.83
612,69,24,69.29,16.15,0,0,4.29
613,56,16,50.74,7.11,6,0,7.14
614,64,45,76.27,23.63,2,0,3.23
615,34,20,48.25,22.28,1,1,2.17
616,65,56,32.35,46.41,3,0,0.7
617,58,56,45.02,7.58,4,0,5.94
618,18,35,90.75,5.47,5,0,16.59
619,28,28,96.68,5.56,1,0,17.39
620,29,46,36.6,45.31,6,1,0.81
621,31,35,83.08,23.02,9,0,3.61
622,25,18,41.87,8.38,1,0,5.0
623,48,24,90.97,30.1,3,0,3.02
624,24,28,33.24,27.34,8,0,1.22
625,63,14,73.28,10.72,2,0,6.84
626,48,49,26.74,30.55,6,1,0.88
627,33,24,97.91,17.67,0,0,5.54
628,59,31,76.05,12.68,4,0,6.0
629,56,6,87.35,26.01,4,0,3.36
630,61,58,65.33,15.29,0,0,4.27
